t_p_1_mth_n,t_p_1_qtr_n,date_d,val_n,t_m_1_val_n,t_m_2_val_n,t_m_3_val_n,t_m_4_val_n,t_m_5_val_n,t_m_6_val_n,t_m_7_val_n,t_m_8_val_n,t_m_9_val_n,t_m_10_val_n,t_m_11_val_n,t_m_12_val_n,t_p_1_val_n,t_p_2_val_n,t_p_3_val_n,t_p_4_val_n
2,0.0,2002-01-01,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,80723.902,82935.579,78687.679,90069.515,46029.894,62952.67,44073.768,44767.966
3,1.0,2002-02-01,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,80723.902,82935.579,78687.679,62952.67,44073.768,44767.966,64112.377
4,1.0,2002-03-01,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,80723.902,82935.579,44073.768,44767.966,64112.377,88478.11
5,1.0,2002-04-01,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,80723.902,44767.966,64112.377,88478.11,80440.587
6,2.0,2002-05-01,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,64112.377,88478.11,80440.587,75297.618
7,2.0,2002-06-01,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,88478.11,80440.587,75297.618,57203.896
8,2.0,2002-07-01,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,80440.587,75297.618,57203.896,52005.891
9,3.0,2002-08-01,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,75297.618,57203.896,52005.891,57695.276
10,3.0,2002-09-01,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,57203.896,52005.891,57695.276,52962.69
11,3.0,2002-10-01,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,52005.891,57695.276,52962.69,51480.011
12,4.0,2002-11-01,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,57695.276,52962.69,51480.011,52363.935
1,0.0,2002-12-01,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,52962.69,51480.011,52363.935,43189.544
2,0.0,2003-01-01,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,51480.011,52363.935,43189.544,40836.79
3,1.0,2003-02-01,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,52363.935,43189.544,40836.79,48698.108
4,1.0,2003-03-01,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,43189.544,40836.79,48698.108,87492.169
5,1.0,2003-04-01,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,40836.79,48698.108,87492.169,81851.383
6,2.0,2003-05-01,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,48698.108,87492.169,81851.383,74231.752
7,2.0,2003-06-01,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,87492.169,81851.383,74231.752,68665.841
8,2.0,2003-07-01,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,81851.383,74231.752,68665.841,51326.54
9,3.0,2003-08-01,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,74231.752,68665.841,51326.54,52244.471
10,3.0,2003-09-01,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,68665.841,51326.54,52244.471,52770.41814
11,3.0,2003-10-01,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,51326.54,52244.471,52770.41814,53788.79565
12,4.0,2003-11-01,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,52244.471,52770.41814,53788.79565,60294.52118
1,0.0,2003-12-01,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52770.41814,53788.79565,60294.52118,56992.28362
2,0.0,2004-01-01,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,53788.79565,60294.52118,56992.28362,56397.63791
3,1.0,2004-02-01,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,60294.52118,56992.28362,56397.63791,56402.3506
4,1.0,2004-03-01,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,56992.28362,56397.63791,56402.3506,84330.17657
5,1.0,2004-04-01,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,56397.63791,56402.3506,84330.17657,81551.34279
6,2.0,2004-05-01,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,56402.3506,84330.17657,81551.34279,77111.85826
7,2.0,2004-06-01,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,84330.17657,81551.34279,77111.85826,65163.11274
8,2.0,2004-07-01,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,81551.34279,77111.85826,65163.11274,63337.60542
9,3.0,2004-08-01,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,77111.85826,65163.11274,63337.60542,62377.07202
10,3.0,2004-09-01,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,65163.11274,63337.60542,62377.07202,52728.94133
11,3.0,2004-10-01,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,63337.60542,62377.07202,52728.94133,45266.09349
12,4.0,2004-11-01,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,51326.54,62377.07202,52728.94133,45266.09349,47896.94495
1,0.0,2004-12-01,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,52244.471,52728.94133,45266.09349,47896.94495,44238.58208
2,0.0,2005-01-01,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,52770.41814,45266.09349,47896.94495,44238.58208,46817.56708
3,1.0,2005-02-01,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,53788.79565,47896.94495,44238.58208,46817.56708,48796.76647
4,1.0,2005-03-01,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,60294.52118,44238.58208,46817.56708,48796.76647,86223.71598
5,1.0,2005-04-01,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,56992.28362,46817.56708,48796.76647,86223.71598,86927.03486
6,2.0,2005-05-01,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,56397.63791,48796.76647,86223.71598,86927.03486,61078.61581
7,2.0,2005-06-01,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,56402.3506,86223.71598,86927.03486,61078.61581,54455.08686
8,2.0,2005-07-01,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,84330.17657,86927.03486,61078.61581,54455.08686,55973.38929
9,3.0,2005-08-01,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,81551.34279,61078.61581,54455.08686,55973.38929,58766.55159
10,3.0,2005-09-01,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,77111.85826,54455.08686,55973.38929,58766.55159,49457.09781
11,3.0,2005-10-01,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,65163.11274,55973.38929,58766.55159,49457.09781,46922.44812
12,4.0,2005-11-01,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,63337.60542,58766.55159,49457.09781,46922.44812,53098.96997
1,0.0,2005-12-01,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,62377.07202,49457.09781,46922.44812,53098.96997,44123.38798
2,0.0,2006-01-01,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,52728.94133,46922.44812,53098.96997,44123.38798,54018.92224
3,1.0,2006-02-01,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,45266.09349,53098.96997,44123.38798,54018.92224,66829.1947
4,1.0,2006-03-01,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,47896.94495,44123.38798,54018.92224,66829.1947,107131.36377
5,1.0,2006-04-01,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,44238.58208,54018.92224,66829.1947,107131.36377,82272.81129
6,2.0,2006-05-01,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,46817.56708,66829.1947,107131.36377,82272.81129,74886.21128
7,2.0,2006-06-01,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,48796.76647,107131.36377,82272.81129,74886.21128,66357.20312
8,2.0,2006-07-01,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,86223.71598,82272.81129,74886.21128,66357.20312,60771.08901
9,3.0,2006-08-01,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,86927.03486,74886.21128,66357.20312,60771.08901,64967.41426
10,3.0,2006-09-01,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,61078.61581,66357.20312,60771.08901,64967.41426,58108.169
11,3.0,2006-10-01,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,54455.08686,60771.08901,64967.41426,58108.169,52340.724
12,4.0,2006-11-01,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,55973.38929,64967.41426,58108.169,52340.724,49607.869
1,0.0,2006-12-01,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,58766.55159,58108.169,52340.724,49607.869,50513.038
2,0.0,2007-01-01,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49457.09781,52340.724,49607.869,50513.038,55662.612
3,1.0,2007-02-01,52340.724,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,46922.44812,49607.869,50513.038,55662.612,68901.792
4,1.0,2007-03-01,49607.869,52340.724,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,53098.96997,50513.038,55662.612,68901.792,94285.701
5,1.0,2007-04-01,50513.038,49607.869,52340.724,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,44123.38798,55662.612,68901.792,94285.701,105147.547
6,2.0,2007-05-01,55662.612,50513.038,49607.869,52340.724,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,54018.92224,68901.792,94285.701,105147.547,78587.791
7,2.0,2007-06-01,68901.792,55662.612,50513.038,49607.869,52340.724,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,66829.1947,94285.701,105147.547,78587.791,75091.391
8,2.0,2007-07-01,94285.701,68901.792,55662.612,50513.038,49607.869,52340.724,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,107131.36377,105147.547,78587.791,75091.391,69765.838
9,3.0,2007-08-01,105147.547,94285.701,68901.792,55662.612,50513.038,49607.869,52340.724,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,82272.81129,78587.791,75091.391,69765.838,76273.906
10,3.0,2007-09-01,78587.791,105147.547,94285.701,68901.792,55662.612,50513.038,49607.869,52340.724,58108.169,64967.41426,60771.08901,66357.20312,74886.21128,75091.391,69765.838,76273.906,75456.112
11,3.0,2007-10-01,75091.391,78587.791,105147.547,94285.701,68901.792,55662.612,50513.038,49607.869,52340.724,58108.169,64967.41426,60771.08901,66357.20312,69765.838,76273.906,75456.112,61883.929
12,4.0,2007-11-01,69765.838,75091.391,78587.791,105147.547,94285.701,68901.792,55662.612,50513.038,49607.869,52340.724,58108.169,64967.41426,60771.08901,76273.906,75456.112,61883.929,58875.843
1,0.0,2007-12-01,76273.906,69765.838,75091.391,78587.791,105147.547,94285.701,68901.792,55662.612,50513.038,49607.869,52340.724,58108.169,64967.41426,75456.112,61883.929,58875.843,68652.542
2,0.0,2008-01-01,75456.112,76273.906,69765.838,75091.391,78587.791,105147.547,94285.701,68901.792,55662.612,50513.038,49607.869,52340.724,58108.169,61883.929,58875.843,68652.542,54823.788
3,1.0,2008-02-01,61883.929,75456.112,76273.906,69765.838,75091.391,78587.791,105147.547,94285.701,68901.792,55662.612,50513.038,49607.869,52340.724,58875.843,68652.542,54823.788,61084.759
4,1.0,2008-03-01,58875.843,61883.929,75456.112,76273.906,69765.838,75091.391,78587.791,105147.547,94285.701,68901.792,55662.612,50513.038,49607.869,68652.542,54823.788,61084.759,79246.866
5,1.0,2008-04-01,68652.542,58875.843,61883.929,75456.112,76273.906,69765.838,75091.391,78587.791,105147.547,94285.701,68901.792,55662.612,50513.038,54823.788,61084.759,79246.866,93648.667
6,2.0,2008-05-01,54823.788,68652.542,58875.843,61883.929,75456.112,76273.906,69765.838,75091.391,78587.791,105147.547,94285.701,68901.792,55662.612,61084.759,79246.866,93648.667,83544.695
7,2.0,2008-06-01,61084.759,54823.788,68652.542,58875.843,61883.929,75456.112,76273.906,69765.838,75091.391,78587.791,105147.547,94285.701,68901.792,79246.866,93648.667,83544.695,77850.204
8,2.0,2008-07-01,79246.866,61084.759,54823.788,68652.542,58875.843,61883.929,75456.112,76273.906,69765.838,75091.391,78587.791,105147.547,94285.701,93648.667,83544.695,77850.204,68313.812
9,3.0,2008-08-01,93648.667,79246.866,61084.759,54823.788,68652.542,58875.843,61883.929,75456.112,76273.906,69765.838,75091.391,78587.791,105147.547,83544.695,77850.204,68313.812,74486.236
10,3.0,2008-09-01,83544.695,93648.667,79246.866,61084.759,54823.788,68652.542,58875.843,61883.929,75456.112,76273.906,69765.838,75091.391,78587.791,77850.204,68313.812,74486.236,66134.977
11,3.0,2008-10-01,77850.204,83544.695,93648.667,79246.866,61084.759,54823.788,68652.542,58875.843,61883.929,75456.112,76273.906,69765.838,75091.391,68313.812,74486.236,66134.977,59822.344
12,4.0,2008-11-01,68313.812,77850.204,83544.695,93648.667,79246.866,61084.759,54823.788,68652.542,58875.843,61883.929,75456.112,76273.906,69765.838,74486.236,66134.977,59822.344,55354.512
1,0.0,2008-12-01,74486.236,68313.812,77850.204,83544.695,93648.667,79246.866,61084.759,54823.788,68652.542,58875.843,61883.929,75456.112,76273.906,66134.977,59822.344,55354.512,49661.081
2,0.0,2009-01-01,66134.977,74486.236,68313.812,77850.204,83544.695,93648.667,79246.866,61084.759,54823.788,68652.542,58875.843,61883.929,75456.112,59822.344,55354.512,49661.081,51598.042
3,1.0,2009-02-01,59822.344,66134.977,74486.236,68313.812,77850.204,83544.695,93648.667,79246.866,61084.759,54823.788,68652.542,58875.843,61883.929,55354.512,49661.081,51598.042,46106.979
4,1.0,2009-03-01,55354.512,59822.344,66134.977,74486.236,68313.812,77850.204,83544.695,93648.667,79246.866,61084.759,54823.788,68652.542,58875.843,49661.081,51598.042,46106.979,87393.479
5,1.0,2009-04-01,49661.081,55354.512,59822.344,66134.977,74486.236,68313.812,77850.204,83544.695,93648.667,79246.866,61084.759,54823.788,68652.542,51598.042,46106.979,87393.479,89115.446
6,2.0,2009-05-01,51598.042,49661.081,55354.512,59822.344,66134.977,74486.236,68313.812,77850.204,83544.695,93648.667,79246.866,61084.759,54823.788,46106.979,87393.479,89115.446,96365.543
7,2.0,2009-06-01,46106.979,51598.042,49661.081,55354.512,59822.344,66134.977,74486.236,68313.812,77850.204,83544.695,93648.667,79246.866,61084.759,87393.479,89115.446,96365.543,71254.818
