t_p_1_mth_n,t_p_1_qtr_n,date_d,val_n,t_m_1_val_n,t_m_2_val_n,t_m_3_val_n,t_m_4_val_n,t_m_5_val_n,t_m_6_val_n,t_m_7_val_n,t_m_8_val_n,t_m_9_val_n,t_m_10_val_n,t_m_11_val_n,t_m_12_val_n,t_p_1_val_n,t_p_2_val_n,t_p_3_val_n,t_p_4_val_n
8,2.0,2009-07-01,87393.479,46106.979,51598.042,49661.081,55354.512,59822.344,66134.977,74486.236,68313.812,77850.204,83544.695,93648.667,79246.866,89115.446,96365.543,71254.818,63515.255
9,3.0,2009-08-01,89115.446,87393.479,46106.979,51598.042,49661.081,55354.512,59822.344,66134.977,74486.236,68313.812,77850.204,83544.695,93648.667,96365.543,71254.818,63515.255,72605.64
10,3.0,2009-09-01,96365.543,89115.446,87393.479,46106.979,51598.042,49661.081,55354.512,59822.344,66134.977,74486.236,68313.812,77850.204,83544.695,71254.818,63515.255,72605.64,66583.144
11,3.0,2009-10-01,71254.818,96365.543,89115.446,87393.479,46106.979,51598.042,49661.081,55354.512,59822.344,66134.977,74486.236,68313.812,77850.204,63515.255,72605.64,66583.144,60736.825
12,4.0,2009-11-01,63515.255,71254.818,96365.543,89115.446,87393.479,46106.979,51598.042,49661.081,55354.512,59822.344,66134.977,74486.236,68313.812,72605.64,66583.144,60736.825,65508.919
1,0.0,2009-12-01,72605.64,63515.255,71254.818,96365.543,89115.446,87393.479,46106.979,51598.042,49661.081,55354.512,59822.344,66134.977,74486.236,66583.144,60736.825,65508.919,54720.878
2,0.0,2010-01-01,66583.144,72605.64,63515.255,71254.818,96365.543,89115.446,87393.479,46106.979,51598.042,49661.081,55354.512,59822.344,66134.977,60736.825,65508.919,54720.878,39235.991
3,1.0,2010-02-01,60736.825,66583.144,72605.64,63515.255,71254.818,96365.543,89115.446,87393.479,46106.979,51598.042,49661.081,55354.512,59822.344,65508.919,54720.878,39235.991,37084.709
4,1.0,2010-03-01,65508.919,60736.825,66583.144,72605.64,63515.255,71254.818,96365.543,89115.446,87393.479,46106.979,51598.042,49661.081,55354.512,54720.878,39235.991,37084.709,64050.878
5,1.0,2010-04-01,54720.878,65508.919,60736.825,66583.144,72605.64,63515.255,71254.818,96365.543,89115.446,87393.479,46106.979,51598.042,49661.081,39235.991,37084.709,64050.878,76274.58
6,2.0,2010-05-01,39235.991,54720.878,65508.919,60736.825,66583.144,72605.64,63515.255,71254.818,96365.543,89115.446,87393.479,46106.979,51598.042,37084.709,64050.878,76274.58,69752.197
7,2.0,2010-06-01,37084.709,39235.991,54720.878,65508.919,60736.825,66583.144,72605.64,63515.255,71254.818,96365.543,89115.446,87393.479,46106.979,64050.878,76274.58,69752.197,76902.356
8,2.0,2010-07-01,64050.878,37084.709,39235.991,54720.878,65508.919,60736.825,66583.144,72605.64,63515.255,71254.818,96365.543,89115.446,87393.479,76274.58,69752.197,76902.356,64943.749
9,3.0,2010-08-01,76274.58,64050.878,37084.709,39235.991,54720.878,65508.919,60736.825,66583.144,72605.64,63515.255,71254.818,96365.543,89115.446,69752.197,76902.356,64943.749,60297.428
10,3.0,2010-09-01,69752.197,76274.58,64050.878,37084.709,39235.991,54720.878,65508.919,60736.825,66583.144,72605.64,63515.255,71254.818,96365.543,76902.356,64943.749,60297.428,51610.321
11,3.0,2010-10-01,76902.356,69752.197,76274.58,64050.878,37084.709,39235.991,54720.878,65508.919,60736.825,66583.144,72605.64,63515.255,71254.818,64943.749,60297.428,51610.321,51394.206
12,4.0,2010-11-01,64943.749,76902.356,69752.197,76274.58,64050.878,37084.709,39235.991,54720.878,65508.919,60736.825,66583.144,72605.64,63515.255,60297.428,51610.321,51394.206,41357.242
1,0.0,2010-12-01,60297.428,64943.749,76902.356,69752.197,76274.58,64050.878,37084.709,39235.991,54720.878,65508.919,60736.825,66583.144,72605.64,51610.321,51394.206,41357.242,35375.384
2,0.0,2011-01-01,51610.321,60297.428,64943.749,76902.356,69752.197,76274.58,64050.878,37084.709,39235.991,54720.878,65508.919,60736.825,66583.144,51394.206,41357.242,35375.384,30546.195
3,1.0,2011-02-01,51394.206,51610.321,60297.428,64943.749,76902.356,69752.197,76274.58,64050.878,37084.709,39235.991,54720.878,65508.919,60736.825,41357.242,35375.384,30546.195,34435.901
4,1.0,2011-03-01,41357.242,51394.206,51610.321,60297.428,64943.749,76902.356,69752.197,76274.58,64050.878,37084.709,39235.991,54720.878,65508.919,35375.384,30546.195,34435.901,56667.648
5,1.0,2011-04-01,35375.384,41357.242,51394.206,51610.321,60297.428,64943.749,76902.356,69752.197,76274.58,64050.878,37084.709,39235.991,54720.878,30546.195,34435.901,56667.648,69261.433
6,2.0,2011-05-01,30546.195,35375.384,41357.242,51394.206,51610.321,60297.428,64943.749,76902.356,69752.197,76274.58,64050.878,37084.709,39235.991,34435.901,56667.648,69261.433,69651.242
7,2.0,2011-06-01,34435.901,30546.195,35375.384,41357.242,51394.206,51610.321,60297.428,64943.749,76902.356,69752.197,76274.58,64050.878,37084.709,56667.648,69261.433,69651.242,54480.865
8,2.0,2011-07-01,56667.648,34435.901,30546.195,35375.384,41357.242,51394.206,51610.321,60297.428,64943.749,76902.356,69752.197,76274.58,64050.878,69261.433,69651.242,54480.865,53507.706
9,3.0,2011-08-01,69261.433,56667.648,34435.901,30546.195,35375.384,41357.242,51394.206,51610.321,60297.428,64943.749,76902.356,69752.197,76274.58,69651.242,54480.865,53507.706,68275.836
10,3.0,2011-09-01,69651.242,69261.433,56667.648,34435.901,30546.195,35375.384,41357.242,51394.206,51610.321,60297.428,64943.749,76902.356,69752.197,54480.865,53507.706,68275.836,65556.392
11,3.0,2011-10-01,54480.865,69651.242,69261.433,56667.648,34435.901,30546.195,35375.384,41357.242,51394.206,51610.321,60297.428,64943.749,76902.356,53507.706,68275.836,65556.392,65298.761
12,4.0,2011-11-01,53507.706,54480.865,69651.242,69261.433,56667.648,34435.901,30546.195,35375.384,41357.242,51394.206,51610.321,60297.428,64943.749,68275.836,65556.392,65298.761,63258.409
1,0.0,2011-12-01,68275.836,53507.706,54480.865,69651.242,69261.433,56667.648,34435.901,30546.195,35375.384,41357.242,51394.206,51610.321,60297.428,65556.392,65298.761,63258.409,59439.288
2,0.0,2012-01-01,65556.392,68275.836,53507.706,54480.865,69651.242,69261.433,56667.648,34435.901,30546.195,35375.384,41357.242,51394.206,51610.321,65298.761,63258.409,59439.288,59554.117
3,1.0,2012-02-01,65298.761,65556.392,68275.836,53507.706,54480.865,69651.242,69261.433,56667.648,34435.901,30546.195,35375.384,41357.242,51394.206,63258.409,59439.288,59554.117,62632.389
4,1.0,2012-03-01,63258.409,65298.761,65556.392,68275.836,53507.706,54480.865,69651.242,69261.433,56667.648,34435.901,30546.195,35375.384,41357.242,59439.288,59554.117,62632.389,73811.646
5,1.0,2012-04-01,59439.288,63258.409,65298.761,65556.392,68275.836,53507.706,54480.865,69651.242,69261.433,56667.648,34435.901,30546.195,35375.384,59554.117,62632.389,73811.646,101387.936
6,2.0,2012-05-01,59554.117,59439.288,63258.409,65298.761,65556.392,68275.836,53507.706,54480.865,69651.242,69261.433,56667.648,34435.901,30546.195,62632.389,73811.646,101387.936,89558.213
7,2.0,2012-06-01,62632.389,59554.117,59439.288,63258.409,65298.761,65556.392,68275.836,53507.706,54480.865,69651.242,69261.433,56667.648,34435.901,73811.646,101387.936,89558.213,82059.796
8,2.0,2012-07-01,73811.646,62632.389,59554.117,59439.288,63258.409,65298.761,65556.392,68275.836,53507.706,54480.865,69651.242,69261.433,56667.648,101387.936,89558.213,82059.796,68921.573
9,3.0,2012-08-01,101387.936,73811.646,62632.389,59554.117,59439.288,63258.409,65298.761,65556.392,68275.836,53507.706,54480.865,69651.242,69261.433,89558.213,82059.796,68921.573,63863.155
10,3.0,2012-09-01,89558.213,101387.936,73811.646,62632.389,59554.117,59439.288,63258.409,65298.761,65556.392,68275.836,53507.706,54480.865,69651.242,82059.796,68921.573,63863.155,65611.019
11,3.0,2012-10-01,82059.796,89558.213,101387.936,73811.646,62632.389,59554.117,59439.288,63258.409,65298.761,65556.392,68275.836,53507.706,54480.865,68921.573,63863.155,65611.019,60459.618
12,4.0,2012-11-01,68921.573,82059.796,89558.213,101387.936,73811.646,62632.389,59554.117,59439.288,63258.409,65298.761,65556.392,68275.836,53507.706,63863.155,65611.019,60459.618,58409.919
1,0.0,2012-12-01,63863.155,68921.573,82059.796,89558.213,101387.936,73811.646,62632.389,59554.117,59439.288,63258.409,65298.761,65556.392,68275.836,65611.019,60459.618,58409.919,50993.018
2,0.0,2013-01-01,65611.019,63863.155,68921.573,82059.796,89558.213,101387.936,73811.646,62632.389,59554.117,59439.288,63258.409,65298.761,65556.392,60459.618,58409.919,50993.018,54819.653
3,1.0,2013-02-01,60459.618,65611.019,63863.155,68921.573,82059.796,89558.213,101387.936,73811.646,62632.389,59554.117,59439.288,63258.409,65298.761,58409.919,50993.018,54819.653,64712.59
4,1.0,2013-03-01,58409.919,60459.618,65611.019,63863.155,68921.573,82059.796,89558.213,101387.936,73811.646,62632.389,59554.117,59439.288,63258.409,50993.018,54819.653,64712.59,82591.903
5,1.0,2013-04-01,50993.018,58409.919,60459.618,65611.019,63863.155,68921.573,82059.796,89558.213,101387.936,73811.646,62632.389,59554.117,59439.288,54819.653,64712.59,82591.903,83178.844
6,2.0,2013-05-01,54819.653,50993.018,58409.919,60459.618,65611.019,63863.155,68921.573,82059.796,89558.213,101387.936,73811.646,62632.389,59554.117,64712.59,82591.903,83178.844,83419.959
7,2.0,2013-06-01,64712.59,54819.653,50993.018,58409.919,60459.618,65611.019,63863.155,68921.573,82059.796,89558.213,101387.936,73811.646,62632.389,82591.903,83178.844,83419.959,69868.955
8,2.0,2013-07-01,82591.903,64712.59,54819.653,50993.018,58409.919,60459.618,65611.019,63863.155,68921.573,82059.796,89558.213,101387.936,73811.646,83178.844,83419.959,69868.955,69803.291
9,3.0,2013-08-01,83178.844,82591.903,64712.59,54819.653,50993.018,58409.919,60459.618,65611.019,63863.155,68921.573,82059.796,89558.213,101387.936,83419.959,69868.955,69803.291,81843.838
10,3.0,2013-09-01,83419.959,83178.844,82591.903,64712.59,54819.653,50993.018,58409.919,60459.618,65611.019,63863.155,68921.573,82059.796,89558.213,69868.955,69803.291,81843.838,72448.147
11,3.0,2013-10-01,69868.955,83419.959,83178.844,82591.903,64712.59,54819.653,50993.018,58409.919,60459.618,65611.019,63863.155,68921.573,82059.796,69803.291,81843.838,72448.147,68285.09
12,4.0,2013-11-01,69803.291,69868.955,83419.959,83178.844,82591.903,64712.59,54819.653,50993.018,58409.919,60459.618,65611.019,63863.155,68921.573,81843.838,72448.147,68285.09,58980.168
1,0.0,2013-12-01,81843.838,69803.291,69868.955,83419.959,83178.844,82591.903,64712.59,54819.653,50993.018,58409.919,60459.618,65611.019,63863.155,72448.147,68285.09,58980.168,56546.022
2,0.0,2014-01-01,72448.147,81843.838,69803.291,69868.955,83419.959,83178.844,82591.903,64712.59,54819.653,50993.018,58409.919,60459.618,65611.019,68285.09,58980.168,56546.022,57045.682
3,1.0,2014-02-01,68285.09,72448.147,81843.838,69803.291,69868.955,83419.959,83178.844,82591.903,64712.59,54819.653,50993.018,58409.919,60459.618,58980.168,56546.022,57045.682,56205.437
4,1.0,2014-03-01,58980.168,68285.09,72448.147,81843.838,69803.291,69868.955,83419.959,83178.844,82591.903,64712.59,54819.653,50993.018,58409.919,56546.022,57045.682,56205.437,80285.053
5,1.0,2014-04-01,56546.022,58980.168,68285.09,72448.147,81843.838,69803.291,69868.955,83419.959,83178.844,82591.903,64712.59,54819.653,50993.018,57045.682,56205.437,80285.053,82009.471
6,2.0,2014-05-01,57045.682,56546.022,58980.168,68285.09,72448.147,81843.838,69803.291,69868.955,83419.959,83178.844,82591.903,64712.59,54819.653,56205.437,80285.053,82009.471,86626.264
7,2.0,2014-06-01,56205.437,57045.682,56546.022,58980.168,68285.09,72448.147,81843.838,69803.291,69868.955,83419.959,83178.844,82591.903,64712.59,80285.053,82009.471,86626.264,85776.381
8,2.0,2014-07-01,80285.053,56205.437,57045.682,56546.022,58980.168,68285.09,72448.147,81843.838,69803.291,69868.955,83419.959,83178.844,82591.903,82009.471,86626.264,85776.381,61219.037
9,3.0,2014-08-01,82009.471,80285.053,56205.437,57045.682,56546.022,58980.168,68285.09,72448.147,81843.838,69803.291,69868.955,83419.959,83178.844,86626.264,85776.381,61219.037,66095.36
10,3.0,2014-09-01,86626.264,82009.471,80285.053,56205.437,57045.682,56546.022,58980.168,68285.09,72448.147,81843.838,69803.291,69868.955,83419.959,85776.381,61219.037,66095.36,62815.61
11,3.0,2014-10-01,85776.381,86626.264,82009.471,80285.053,56205.437,57045.682,56546.022,58980.168,68285.09,72448.147,81843.838,69803.291,69868.955,61219.037,66095.36,62815.61,46537.062
12,4.0,2014-11-01,61219.037,85776.381,86626.264,82009.471,80285.053,56205.437,57045.682,56546.022,58980.168,68285.09,72448.147,81843.838,69803.291,66095.36,62815.61,46537.062,54168.439
1,0.0,2014-12-01,66095.36,61219.037,85776.381,86626.264,82009.471,80285.053,56205.437,57045.682,56546.022,58980.168,68285.09,72448.147,81843.838,62815.61,46537.062,54168.439,52670.906
2,0.0,2015-01-01,62815.61,66095.36,61219.037,85776.381,86626.264,82009.471,80285.053,56205.437,57045.682,56546.022,58980.168,68285.09,72448.147,46537.062,54168.439,52670.906,50950.93
3,1.0,2015-02-01,46537.062,62815.61,66095.36,61219.037,85776.381,86626.264,82009.471,80285.053,56205.437,57045.682,56546.022,58980.168,68285.09,54168.439,52670.906,50950.93,73308.817
4,1.0,2015-03-01,54168.439,46537.062,62815.61,66095.36,61219.037,85776.381,86626.264,82009.471,80285.053,56205.437,57045.682,56546.022,58980.168,52670.906,50950.93,73308.817,83645.461
5,1.0,2015-04-01,52670.906,54168.439,46537.062,62815.61,66095.36,61219.037,85776.381,86626.264,82009.471,80285.053,56205.437,57045.682,56546.022,50950.93,73308.817,83645.461,88849.753
6,2.0,2015-05-01,50950.93,52670.906,54168.439,46537.062,62815.61,66095.36,61219.037,85776.381,86626.264,82009.471,80285.053,56205.437,57045.682,73308.817,83645.461,88849.753,87498.43
7,2.0,2015-06-01,73308.817,50950.93,52670.906,54168.439,46537.062,62815.61,66095.36,61219.037,85776.381,86626.264,82009.471,80285.053,56205.437,83645.461,88849.753,87498.43,83347.307
8,2.0,2015-07-01,83645.461,73308.817,50950.93,52670.906,54168.439,46537.062,62815.61,66095.36,61219.037,85776.381,86626.264,82009.471,80285.053,88849.753,87498.43,83347.307,59143.706
9,3.0,2015-08-01,88849.753,83645.461,73308.817,50950.93,52670.906,54168.439,46537.062,62815.61,66095.36,61219.037,85776.381,86626.264,82009.471,87498.43,83347.307,59143.706,62996.464
10,3.0,2015-09-01,87498.43,88849.753,83645.461,73308.817,50950.93,52670.906,54168.439,46537.062,62815.61,66095.36,61219.037,85776.381,86626.264,83347.307,59143.706,62996.464,60932.085
11,3.0,2015-10-01,83347.307,87498.43,88849.753,83645.461,73308.817,50950.93,52670.906,54168.439,46537.062,62815.61,66095.36,61219.037,85776.381,59143.706,62996.464,60932.085,48598.881
12,4.0,2015-11-01,59143.706,83347.307,87498.43,88849.753,83645.461,73308.817,50950.93,52670.906,54168.439,46537.062,62815.61,66095.36,61219.037,62996.464,60932.085,48598.881,38153.736
1,0.0,2015-12-01,62996.464,59143.706,83347.307,87498.43,88849.753,83645.461,73308.817,50950.93,52670.906,54168.439,46537.062,62815.61,66095.36,60932.085,48598.881,38153.736,36114.524
2,0.0,2016-01-01,60932.085,62996.464,59143.706,83347.307,87498.43,88849.753,83645.461,73308.817,50950.93,52670.906,54168.439,46537.062,62815.61,48598.881,38153.736,36114.524,39061.798
3,1.0,2016-02-01,48598.881,60932.085,62996.464,59143.706,83347.307,87498.43,88849.753,83645.461,73308.817,50950.93,52670.906,54168.439,46537.062,38153.736,36114.524,39061.798,61451.699
4,1.0,2016-03-01,38153.736,48598.881,60932.085,62996.464,59143.706,83347.307,87498.43,88849.753,83645.461,73308.817,50950.93,52670.906,54168.439,36114.524,39061.798,61451.699,71836.554
5,1.0,2016-04-01,36114.524,38153.736,48598.881,60932.085,62996.464,59143.706,83347.307,87498.43,88849.753,83645.461,73308.817,50950.93,52670.906,39061.798,61451.699,71836.554,78969.654
6,2.0,2016-05-01,39061.798,36114.524,38153.736,48598.881,60932.085,62996.464,59143.706,83347.307,87498.43,88849.753,83645.461,73308.817,50950.93,61451.699,71836.554,78969.654,64331.206
7,2.0,2016-06-01,61451.699,39061.798,36114.524,38153.736,48598.881,60932.085,62996.464,59143.706,83347.307,87498.43,88849.753,83645.461,73308.817,71836.554,78969.654,64331.206,63460.576
8,2.0,2016-07-01,71836.554,61451.699,39061.798,36114.524,38153.736,48598.881,60932.085,62996.464,59143.706,83347.307,87498.43,88849.753,83645.461,78969.654,64331.206,63460.576,48998.221
9,3.0,2016-08-01,78969.654,71836.554,61451.699,39061.798,36114.524,38153.736,48598.881,60932.085,62996.464,59143.706,83347.307,87498.43,88849.753,64331.206,63460.576,48998.221,54108.365
10,3.0,2016-09-01,64331.206,78969.654,71836.554,61451.699,39061.798,36114.524,38153.736,48598.881,60932.085,62996.464,59143.706,83347.307,87498.43,63460.576,48998.221,54108.365,51157.47
11,3.0,2016-10-01,63460.576,64331.206,78969.654,71836.554,61451.699,39061.798,36114.524,38153.736,48598.881,60932.085,62996.464,59143.706,83347.307,48998.221,54108.365,51157.47,37508.317
12,4.0,2016-11-01,48998.221,63460.576,64331.206,78969.654,71836.554,61451.699,39061.798,36114.524,38153.736,48598.881,60932.085,62996.464,59143.706,54108.365,51157.47,37508.317,31506.404
1,0.0,2016-12-01,54108.365,48998.221,63460.576,64331.206,78969.654,71836.554,61451.699,39061.798,36114.524,38153.736,48598.881,60932.085,62996.464,51157.47,37508.317,31506.404,27416.917
2,0.0,2017-01-01,51157.47,54108.365,48998.221,63460.576,64331.206,78969.654,71836.554,61451.699,39061.798,36114.524,38153.736,48598.881,60932.085,37508.317,31506.404,27416.917,35394.17
3,1.0,2017-02-01,37508.317,51157.47,54108.365,48998.221,63460.576,64331.206,78969.654,71836.554,61451.699,39061.798,36114.524,38153.736,48598.881,31506.404,27416.917,35394.17,49345.909
4,1.0,2017-03-01,31506.404,37508.317,51157.47,54108.365,48998.221,63460.576,64331.206,78969.654,71836.554,61451.699,39061.798,36114.524,38153.736,27416.917,35394.17,49345.909,67120.715
5,1.0,2017-04-01,27416.917,31506.404,37508.317,51157.47,54108.365,48998.221,63460.576,64331.206,78969.654,71836.554,61451.699,39061.798,36114.524,35394.17,49345.909,67120.715,78072.015
6,2.0,2017-05-01,35394.17,27416.917,31506.404,37508.317,51157.47,54108.365,48998.221,63460.576,64331.206,78969.654,71836.554,61451.699,39061.798,49345.909,67120.715,78072.015,62609.118
7,2.0,2017-06-01,49345.909,35394.17,27416.917,31506.404,37508.317,51157.47,54108.365,48998.221,63460.576,64331.206,78969.654,71836.554,61451.699,67120.715,78072.015,62609.118,58492.03
8,2.0,2017-07-01,67120.715,49345.909,35394.17,27416.917,31506.404,37508.317,51157.47,54108.365,48998.221,63460.576,64331.206,78969.654,71836.554,78072.015,62609.118,58492.03,48013.183
9,3.0,2017-08-01,78072.015,67120.715,49345.909,35394.17,27416.917,31506.404,37508.317,51157.47,54108.365,48998.221,63460.576,64331.206,78969.654,62609.118,58492.03,48013.183,50534.526
10,3.0,2017-09-01,62609.118,78072.015,67120.715,49345.909,35394.17,27416.917,31506.404,37508.317,51157.47,54108.365,48998.221,63460.576,64331.206,58492.03,48013.183,50534.526,45594.032
